Title,Rating,Votes,Duration,genre
348. Timuchin,5.9,19.0,,action
349. The Desperate Chase,5.5,53.0,1h 50m,action
350. Hunt the Wicked,5.3,107.0,1h 42m,action
351. They Call Her Death,6.5,25.0,1h 32m,action
352. Red vs. Blue: Restoration,5.6,135.0,1h 25m,action
353. Ballistic,2.3,161.0,1h 35m,action
354. Malayalee from India,5.6,5000.0,2h 40m,action
355. Bidurbhai,9.2,375.0,2h 28m,action
356. Zebra,8.0,3.2,2h 44m,action
357. Aserb: The Squadron,5.2,300.0,2h,action
358. Mobile Suit Gundam SEED Freedom,6.6,928.0,2h 4m,action
359. Sikaar,8.3,676.0,2h 30m,action
360. Eagle,5.9,4.9,2h 39m,action
361. Blade of Fury,6.1,113.0,1h 30m,action
362. Sheriff,6.9,1.1,2h 13m,action
363. Samandar,7.6,136.0,2h 52m,action
364. Rogue Elements: A Ryan Drake Story,4.9,916.0,44m,action
365. Shu Si Yi Bo,6.6,32.0,1h 31m,action
366. Clownface 3,10.0,34.0,1h 44m,action
367. Anthima Theerpu,8.1,1.5,2h 13m,action
368. The Experts,6.2,259.0,2h 1m,action
369. Sunfall,2.6,30.0,1h 14m,action
370. Lal Salaam,4.5,1.3,2h 30m,action
371. Love You to Debt,6.2,749.0,2h 15m,action
372. Fuuto PI: Portrait of Kamen Rider Skull,7.6,31.0,1h 22m,action
373. Panjab Files,7.9,17.0,1h 57m,action
374. Delivery Run,8.5,11.0,,action
375. Matka,4.7,576.0,2h 36m,action
376. Operation Hope,7.0,22.0,,action
377. Turbo,5.9,3.5,2h 35m,action
378. The Miranda Brothers,4.4,188.0,1h 39m,action
379. Mirza: Part 1 - Joker,6.8,236.0,2h 45m,action
380. Mercy Killing,8.7,2.7,2h 11m,action
381. Desperado,5.9,139.0,1h 40m,action
382. Captain Miller,6.5,8.6,2h 37m,action
383. Yuva,5.8,834.0,2h 33m,action
384. What Happens in Miami,4.3,218.0,1h 30m,action
385. Shark Island,4.0,114.0,1h 21m,action
386. Sarangadhariya,8.6,3.1,2h 30m,action
387. Customs Frontline,5.4,465.0,1h 55m,action
388. Rang De Basanti,8.8,144.0,2h 54m,action
389. Hitler,5.2,302.0,2h 8m,action
390. Xiong Shi Shao Nian 2,7.5,188.0,2h 14m,action
391. Anchakkallakokkan,6.6,1000.0,2h 6m,action
392. Mission: Chapter 1,5.9,1.7,2h 24m,action
393. Hain,2.9,45.0,1h 35m,action
394. Major Grom: The Game,6.1,1.8,2h 48m,action
395. Pottel,8.3,2.7,2h 28m,action
396. Bhaje Vaayu Vegam,6.1,546.0,2h 16m,action
397. Buddy,3.8,340.0,2h 17m,action
398. Ghost Killer,7.2,59.0,1h 45m,action
399. Indrani: Epic-1 Dharam vs Karam,7.6,1.1,2h 37m,action
400. Fighting the Fire,8.6,1.7,1h 55m,action
401. The Legend Hunters,5.1,18.0,,action
402. Gandhi 3,5.5,233.0,2h 23m,action
403. The Epidemic,5.8,69.0,1h 35m,action
404. Bull Shark 2,2.9,151.0,1h 15m,action
405. Bonus Trip,4.6,220.0,1h 53m,action
406. Buying Time,7.0,259.0,1h 24m,action
407. Prepare to Die,4.6,228.0,1h 33m,action
408. Bloodline,9.2,46.0,1h 20m,action
409. Holy Punch,5.2,39.0,1h 38m,action
410. 12 Gaun,6.3,881.0,2h 27m,action
411. Conquer: Lahad Datu,6.7,497.0,2h,action
412. Abudeka Is Back,5.3,31.0,2h,action
413. Reloaded 2,8.0,1000.0,45m,action
414. The Unbreakable Bunch,7.1,26.0,R,action
415. Kamen Rider 555 20th: Paradise Regained,5.9,141.0,1h 5m,action
416. The Heist,6.9,2000.0,2h,action
417. Losing Lerato 2,9.1,31.0,1h 36m,action
418. Bhaiyya Ji,4.8,7.4,2h 30m,action
419. Ship of the Damned,2.8,294.0,1h 28m,action
420. KA,7.2,1.5,2h 31m,action
421. Andromeda: 1883,3.5,15.0,,action
422. Drive,5.7,312.0,1h 30m,action
423. Honeko Akabane's Bodyguards,5.9,36.0,1h 57m,action
424. Operation Valentine,5.3,1.4,2h 13m,action
425. Jathara,6.4,1000.0,2h 9m,action
426. Rode College,6.6,421.0,2h 48m,action
427. Formed Police Unit,4.6,473.0,2h,action
428. Mathu Vadalara 2,7.0,1.6,2h 19m,action
429. DNA,5.2,209.0,2h 36m,action
430. I Heart Robots,4.6,2.3,1h 16m,action
431. Bad Boyz,4.6,606.0,2h 30m,action
432. Tariq,6.9,15.0,2h 2m,action
433. Kung Fu Games,3.3,375.0,1h 38m,action
434. Mechanic Rocky,6.5,3.4,2h 36m,action
435. Bangkok Dog,6.3,100.0,1h 25m,action
436. Kizumonogatari: Koyomi Vamp,7.0,81.0,2h 24m,action
437. The Mick and the Trick,5.0,75.0,1h 36m,action
438. Checkmate,4.3,383.0,1h 44m,action
439. Pusaka,6.4,31.0,1h 30m,action
440. War of the Ninja Monsters: Jaron vs Goura,,,55m,action
441. Hotel Underground,7.4,60.0,,action
442. Kill Craft,2.3,361.0,1h 39m,action
443. The Omicron Killer,2.9,594.0,1h 38m,action
444. Bohurupi,8.3,1.4,2h 35m,action
445. Bastar: The Naxal Story,6.4,3.3,2h 4m,action
446. The Alexandrian,3.9,251.0,1h 44m,action
447. Mazhai Pidikatha Manithan,4.5,418.0,2h 13m,action
448. Day Off,2.7,7.0,,action
449. The Bouncer,4.2,82.0,1h 18m,action
450. Ruslaan,3.3,1.2,2h,action
"451. Fool Me Once, Revenge on You",6.9,9.0,,action
452. My Redneck Neighbor: Chapter 2 - Let the Games Begin,,,55m,action
453. Neon Fear,6.2,389.0,40m,action
454. Where Is Gilgamesh?,9.0,604.0,1h 30m,action
455. The Plot,4.8,363.0,1h 40m,action
456. 6 Hours Away,3.9,242.0,1h 33m,action
457. Nu Huo 12 Xiao Shi,6.0,45.0,1h 26m,action
458. In Tenebras: Into the Darkness,3.2,171.0,1h 30m,action
459. The Infallibles,4.8,748.0,1h 39m,action
460. Bandaa Singh Chaudhary,6.3,5.2,1h 53m,action
461. Sons of Rizk 3,6.7,1.6,2h 5m,action
462. Mister Gates,8.8,27.0,,action
463. The Circuit 4: Faith Fighter,4.4,87.0,1h 30m,action
464. Bheema,5.8,947.0,2h 28m,action
465. Texas Twister,2.5,156.0,1h 28m,action
466. Death Game,6.3,24.0,1h 28m,action
467. Sentinelese,,,,action
468. Sous écrous,5.3,33.0,1h 51m,action
469. Saint Young Men: Holy Men vs Demon Army,3.0,13.0,1h 33m,action
470. Case Files,,,,action
471. South Side Hero,5.4,36.0,1h 32m,action
472. 24 Hours to D-Day,4.7,35.0,1h 23m,action
473. Polar,4.4,28.0,1h 16m,action
474. Correr para Vivir,7.0,193.0,1h 37m,action
475. Dirty Money,5.7,108.0,1h 40m,action
476. Hiranya,5.7,15.0,2h 18m,action
477. Warning 2,7.1,880.0,2h 5m,action
478. September Babies,6.2,283.0,1h 34m,action
479. Son's Will,7.4,835.0,,action
